pl_name,default_flag,sy_snum,sy_pnum,sy_mnum,cb_flag,disc_year,rv_flag,pul_flag,ptv_flag,tran_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,dkin_flag,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,pl_msinie,pl_msinij,pl_cmasse,pl_cmassj,pl_bmasse,pl_bmassj,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_tranmid,ttv_flag,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,pl_occdep,pl_orbtper,pl_orblper,pl_rvamp,pl_projobliq,pl_trueobliq,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv,ra,dec,glat,glon,elat,elon,sy_pm,sy_pmra,sy_pmdec,sy_dist,sy_plx,sy_bmag,sy_vmag,sy_jmag,sy_hmag,sy_kmag,sy_umag,sy_gmag,sy_rmag,sy_imag,sy_zmag,sy_w1mag,sy_w2mag,sy_w3mag,sy_w4mag,sy_gaiamag,sy_icmag,sy_tmag,sy_kepmag,pl_nnotes,st_nphot,st_nrvc,st_nspec,pl_nespec,pl_ntranspec,pl_ndispec,Habitability Score,Terraformability Score
TOI-5143 c,1,1,1,0,0,2025,0,0,0,1,0,0,0,0,0,0,0,5.2097118,0.05602,16.253,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.02,2459527.243,0,0.98,0.0,0.0,14.14,0.175,0.0,0.0,0.0,0.0,2.1,0.0,5183.0,0.85,0.86,0.107,0.0,4.51,7.4,2.07,2.53,0.0,0.0,165.3651202,5.1394812,55.80635,248.02983,-1.02616,164.53685,49.2602502,-49.2601,-0.121656,181.38,5.48542,12.189,11.935,10.474,10.101,9.98,15.2471,12.8836,11.8375,11.6375,12.3849,9.92,9.965,9.799,8.559,11.8113,0.0,11.2668,0.0,0,0,0,0,0,0,0,0.0,47.7
KOBE-1 c,1,1,2,0,0,2025,1,0,0,0,0,0,0,0,0,0,0,29.671,0.16071,0.0,0.0,0.0,0.0,12.4,0.03901,0.0,0.0,12.4,0.03901,0.0,0.0,3.91,392.0,0.0,2459448.2,0,0.0,0.0,0.0,55.81,0.0,0.0,0.0,0.0,3.5,0.0,0.0,4135.0,0.62,0.63,-0.01,-0.996,5.07,0.0,0.0,2.0,37.4,-23.1,19.1660378,25.3310358,-37.18978,130.09141,15.93257,27.3908,441.1912779,429.063,-102.736,23.9718,41.6867,11.396,10.1,7.464,6.839,6.656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.47126,0.0,8.6452,0.0,0,1,0,0,0,0,0,30.49,0.0
HD 101581 c,0,1,2,0,0,2025,0,0,0,1,0,0,0,0,0,0,0,6.20747203,0.0,0.956,0.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.92,664.0,0.0,2460017.108,0,0.0,0.02309,1.5587404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4633.87,0.63,0.0,0.0,0.0,4.71,0.0,0.0,0.0,0.0,0.0,175.2563039,-44.4041485,16.67814,289.89696,-41.71896,197.46973,703.2913273,-660.418,241.799,12.7781,78.2299,8.865,7.77,5.792,5.273,5.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.38399,0.0,6.7213,0.0,0,1,0,0,0,0,0,0.0,33.15
HD 101581 b,0,1,2,0,0,2025,0,0,0,1,0,0,0,0,0,0,0,4.4653471,0.0,0.886,0.079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.24,741.0,0.0,2460014.847,0,0.0,0.018676,1.5691486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4633.87,0.63,0.0,0.0,0.0,4.71,0.0,0.0,0.0,0.0,0.0,175.2563039,-44.4041485,16.67814,289.89696,-41.71896,197.46973,703.2913273,-660.418,241.799,12.7781,78.2299,8.865,7.77,5.792,5.273,5.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.38399,0.0,6.7213,0.0,0,1,0,0,0,0,0,0.0,21.79
Barnard c,1,1,4,0,0,2025,1,0,0,0,0,0,0,0,0,0,0,4.1244,0.0274,0.0,0.0,0.0,0.0,0.335,0.00105,0.0,0.0,0.335,0.00105,0.0,0.08,0.0,400.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2460242.92,90.8,0.452,0.0,0.0,3195.0,0.18,0.16,-0.56,-2.45,4.9,0.0,0.0,0.0,142.0,0.0,269.4486144,4.7379808,14.08585,31.04815,28.17607,269.37276,10393.55083,-802.803,10362.5,1.82655,547.451,11.169,9.54,5.244,4.834,4.524,14.2471,10.2137,11.2782,11.1087,7.15757,0.0,0.0,0.0,0.0,8.19511,0.0,6.88269,0.0,0,1,0,6,0,0,0,27.67,0.0
Barnard d,1,1,4,0,0,2025,1,0,0,0,0,0,0,0,0,0,0,2.3402,0.0188,0.0,0.0,0.0,0.0,0.263,0.00083,0.0,0.0,0.263,0.00083,0.0,0.04,0.0,483.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2460243.7,-51.8,0.428,0.0,0.0,3195.0,0.18,0.16,-0.56,-2.45,4.9,0.0,0.0,0.0,142.0,0.0,269.4486144,4.7379808,14.08585,31.04815,28.17607,269.37276,10393.55083,-802.803,10362.5,1.82655,547.451,11.169,9.54,5.244,4.834,4.524,14.2471,10.2137,11.2782,11.1087,7.15757,0.0,0.0,0.0,0.0,8.19511,0.0,6.88269,0.0,0,1,0,6,0,0,0,2.72,0.0
Barnard e,1,1,4,0,0,2025,1,0,0,0,0,0,0,0,0,0,0,6.7392,0.0381,0.0,0.0,0.0,0.0,0.193,0.00061,0.0,0.0,0.193,0.00061,0.0,0.04,0.0,340.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2460245.3,-27.5,0.221,0.0,0.0,3195.0,0.18,0.16,-0.56,-2.45,4.9,0.0,0.0,0.0,142.0,0.0,269.4486144,4.7379808,14.08585,31.04815,28.17607,269.37276,10393.55083,-802.803,10362.5,1.82655,547.451,11.169,9.54,5.244,4.834,4.524,14.2471,10.2137,11.2782,11.1087,7.15757,0.0,0.0,0.0,0.0,8.19511,0.0,6.88269,0.0,0,1,0,6,0,0,0,45.73,0.0
TOI-512 b,1,1,1,0,0,2025,1,0,0,1,0,0,0,0,0,0,0,7.18886,0.0,1.54,0.137,3.57,0.01123,0.0,0.0,0.0,0.0,3.57,0.01123,5.62389,0.02,127.0,1009.0,88.92,2458471.212,0,0.3,0.0246,3.31,0.0,0.0157,0.0,0.0,-54.0,1.54,0.0,0.0,5277.0,0.89,0.74,-0.11,-0.257,4.35,8.235,0.0,1.63,0.0,68.08,96.6467023,-38.6072095,-21.08722,246.56423,-61.79219,101.0282,109.0603908,3.00441,-109.019,67.3975,14.8084,10.511,9.735,8.26,7.937,7.797,0.0,0.0,0.0,0.0,0.0,7.757,7.82,7.785,7.868,9.48032,0.0,8.9767,0.0,0,0,0,0,0,0,0,0.0,0.0
Gaia-5 b,1,1,1,0,0,2025,1,0,0,0,1,0,0,0,0,0,0,358.62,0.0,0.0,0.0,6633.07885,20.87,0.0,0.0,0.0,0.0,6633.07885,20.87,0.0,0.6423,0.0,0.0,129.7,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2457428.5,271.54,1177.7,0.0,0.0,3447.0,0.34,0.34,-0.18,-1.826,4.83,8.2,11.61,2.0,0.0,-52.7,302.0408173,41.9415455,5.00609,78.0844,59.77165,321.60881,128.7006632,102.569,77.7397,41.1813,24.2541,15.7,14.61,10.603,10.03,9.754,0.0,0.0,0.0,0.0,0.0,9.58,9.465,9.106,8.444,13.2287,0.0,12.0628,0.0,0,0,0,0,0,0,0,0.0,0.0
Gaia-4 b,1,1,1,0,0,2025,1,0,0,0,1,0,0,0,0,0,0,571.3,0.0,0.0,0.0,3750.3752,11.8,0.0,0.0,0.0,0.0,3750.3752,11.8,0.0,0.338,0.0,0.0,116.9,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2457386.1,180.3,368.0,0.0,0.0,4034.0,0.62,0.64,0.05,-1.0,4.68,6.8,3.74,2.0,13.3,-17.53,209.5063762,31.6954898,74.81543,54.40658,40.44688,193.32852,77.6711421,-75.5401,18.0693,73.4829,13.5797,13.872,12.405,9.945,9.298,9.135,16.2352,13.5225,12.0281,11.5143,11.3837,9.056,9.112001,8.995,8.86,11.9187,0.0,11.1045,0.0,0,0,0,0,0,0,0,0.0,0.0
