pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,st_teff,st_mass,st_rad,st_met,pl_eqt_normalized,st_met_normalized,surface_gravity,surface_gravity_normalized,Habitability Score,Terraformability Score,st_activity,pl_atmos,pl_surf_temp,pl_escape_vel,pl_radiation_flux,ESI,pl_water_probability
OGLE-2016-BLG-1227L b,13.9,250.0,,912.5307146386988,5412.3924897449615,0.1,,0.014262971257932,0.0,-3.3709117781417086e-16,1.2939288856684437,-0.1534743821118918,42.577622609362294,73.50838604872317,0.6469018775637596,0.9999600832829905,1003.7801435795388,47.49858006207837,0.0,0.0017894940736956312,0.0
Kepler-24 e,2.78,8.15,18.998355,792.0,5897.0,1.05,1.29,-0.071,-0.3020638075596543,-0.4733796119306663,1.0545520418197818,-0.1672783620667634,44.61863307670664,53.581554171459864,0.5257499999999999,0.1780984125694628,806.1053942755015,19.17672450106973,0.2535808476888069,0.01566819881433112,0.0
Kepler-1065 b,3.73,13.4,3.60930891,1092.0,5635.0,0.94,0.93,-0.01,0.4497706318156948,-0.1347079013188422,0.9631349323289896,-0.1725500496980909,45.05372618362108,53.58747223532225,0.59125,0.07534734149544135,1100.2279296913023,21.22833858900243,0.33251817853035026,0.003488742282784242,0.0
HD 132406 b,12.8,1887.90074,908.0,912.5307146386988,5766.0,0.97,1.34,0.129,0.0,0.6370194392556424,11.52283166503906,0.436388725181944,42.7070950771667,94.344883019027,0.5585,1.0,1003.7837861025688,136.01995166886363,0.01899069096444297,0.000982134964171377,0.0
TOI-1260 c,2.76,13.2,7.493134,651.0,4227.0,0.68,0.67,-0.1,-0.6554259940660683,-0.6343874743526812,1.7328292375551355,-0.1281646171311973,43.154515361590704,54.71815176305122,0.94325,0.3559923807956441,674.1751039897964,24.49347739261636,0.03357835739324243,0.028753514108293462,0.0
HD 149143 b,13.6,422.7139,4.07182,912.5307146386988,5856.0,1.2,1.44,0.29,0.0,1.5308906754606209,2.285434147923876,-0.0962979295140927,48.95455020021749,83.18826752294518,0.536,0.9999999948486262,1003.78378563249,62.4412851358119,0.8580120599873597,0.0015445886632902955,0.0
HD 99492 b,5.44,25.5,17.0503,912.5307146386988,4929.0,0.85,0.82,0.3,0.0,1.5864106280199364,0.8616727941176469,-0.1784009970977202,43.01941785284802,53.9637954462433,0.7677499999999999,0.22267053579329382,932.8500849543425,24.24871130596428,0.05375243518037077,0.005630630943415149,0.0
nu Oph c,12.0,7838.32346,3180.6,912.5307146386988,4887.0,2.61,12.24,0.1,0.0,0.4760115768336276,54.43280180555556,2.9108484856185526,45.181512349409964,99.72007879971719,0.77825,1.0,1003.7837861025688,286.24571246023345,0.3544998088086309,0.0006210775212900228,0.0
75 Cet b,13.3,787.89662,696.62,912.5307146386988,4809.0,1.92,10.38,0.1,0.0,0.4760115768336276,4.454161456272259,0.0287645778308139,47.452670431598584,87.67388186681961,0.79775,1.0,1003.7837861025688,86.20388143172403,0.6579199253103443,0.0012850913353510338,0.0
gam Lib b,13.7,357.87479,414.88,912.5307146386988,4879.0,1.78,12.38,-0.27,0.0,-1.578226667861044,1.9067333901646333,-0.1181362058692954,47.017869143804056,79.71499209874418,0.78025,0.9999998449606397,1003.7837719547508,57.243119407775524,1.4007890735529718,0.0016194860459395155,0.0
HD 113337 b,13.1,1035.80278,317.58639,912.5307146386988,6667.33,1.4,1.53,0.07,0.0,0.3094517191556813,6.035795000291359,0.1199715525179535,43.22541969232434,89.58497747973068,0.33316750000000006,1.0,1003.7837861025688,99.59118753865113,0.08916052030670736,0.0011837783001520006,0.0
